Target,2MASS,Other Name,RA,DEC,Region,Distance (pc),SpT,M*,log(dm/dt),A_V,U,V,COS orbs,STIS orbs,AR modes,region,Radius,Prot,Chandragrating,_q,2RXS__q,2RXS__r,2RXS_Ximg,2RXS__2RXS,2RXS_Seq,2RXS_IndDet,2RXS_ExiML,2RXS_Cts,2RXS_e_Cts,2RXS_CRate,2RXS_e_CRate,2RXS_ExpTime,2RXS_RAJ2000,2RXS_DEJ2000,2RXS_RAhms,2RXS_DEdms,2RXS_GLON,2RXS_GLAT,2RXS_Lambda,2RXS_Beta,2RXS_Ext,2RXS_e_Ext,2RXS_ExtML,2RXS_HR1,2RXS_e_HR1,2RXS_HR2,2RXS_e_HR2,2RXS_USKY,2RXS_Masked,2RXS_FAll,2RXS_Sflag,2RXS_Index,2RXS_AmpMax,2RXS_CM,2RXS_CD,2RXS_CTSlc,2RXS_Cmin,2RXS_Cmax,2RXS_e_Cmin,2RXS_e_Cmax,2RXS_Chi2lc,2RXS_ExcVar,2RXS_e_ExcVar,2RXS_sigExc,2RXS_NHgal,2RXS_NHfitp,2RXS_e_NHfitp,2RXS_Normp,2RXS_e_Normp,2RXS_Gammap,2RXS_e_Gammap,2RXS_CTRspep,2RXS_Fluxp,2RXS_Chi2rspp,2RXS_Chi2spp,2RXS_NDptp,2RXS_NDFp,2RXS_NHfitm,2RXS_e_NHfitm,2RXS_Normm,2RXS_e_Normm,2RXS_Tempfitm,2RXS_e_Tempfitm,2RXS_CTRspm,2RXS_Fluxm,2RXS_Chi2rspm,2RXS_Chi2spm,2RXS_NDptm,2RXS_NDFm,2RXS_NHfitb,2RXS_e_NHfitb,2RXS_Normb,2RXS_e_Normb,2RXS_Tempfitb,2RXS_e_Tempfitb,2RXS_CTRspb,2RXS_Fluxb,2RXS_Chi2rspb,2RXS_Chi2spb,2RXS_NDptb,2RXS_NDFb,2RXS_Xima,2RXS_Yima,2RXS_e_Xima,2RXS_e_Yima,2RXS_Xsky,2RXS_Ysky,2RXS_CuRad,2RXS_FA,2RXS_TotNum,2RXS_BGR,2RXS_VigCor,2RXS_Rem,2RXS_SB1,2RXS_SB2,2RXS_SB3,2RXS_SB4,2RXS_B1,2RXS_B2,2RXS_B3,2RXS_B4,2RXS_Bspa,2RXS_S1,2RXS_S2,2RXS_S3,2RXS_S4,2RXS_mXMMSL1,2RXS_eXMMSL1,2RXS_dXMMSL1,2RXS_RA1deg,2RXS_DE1deg,2RXS_XMMSL1,2RXS_CRB0,2RXS_e_CRB0,2RXS_CRB5,2RXS_e_CRB5,2RXS_m3XMM,2RXS_e3XMM,2RXS_d3XMM,2RXS_RA2deg,2RXS_DE2deg,2RXS__3XMM,2RXS_CREP8,2RXS_e_CREP8,2RXS_FluxR,2RXS_e_FluxR,2RXS_m2RXP,2RXS_e2RXP,2RXS_d2RXP,2RXS_RA3deg,2RXS_DE3deg,2RXS__2RXP,2RXS_CR2RXP,2RXS_e_CR2RXP,2RXS_ETim2RXP,2RXS_ObsID,2RXS_m1RXS,2RXS_e1RXS,2RXS_d1RXS,2RXS_RA4deg,2RXS_DE4deg,2RXS__1RXS,2RXS_CR1RXS,2RXS_e_CR1RXS,2RXS_CTS1RXS,2RXS_e_CTS1RXS,2RXS_ExiML1RXS,2RXS_ExPos1RXS,2RXS_HR11RXS,2RXS_e_HR11RXS,2RXS_HR21RXS,2RXS_e_HR21RXS,2RXS_mVV10,2RXS_eVV10,2RXS_dVV10,2RXS_VV10,2RXS_TypeVV10,2RXS_VmagVV10,2RXS_zVV10,2RXS_IndexVV10,2RXS_RA5deg,2RXS_DE5deg,2RXS_mTYC2,2RXS_eTYC2,2RXS_dTYC2,2RXS_RA6deg,2RXS_DE6deg,2RXS_RecnoTYC2,2RXS_VTmag,2RXS_BTmag,2RXS_TYC1,2RXS_TYC2,2RXS_TYC3,2RXS_mBSC,2RXS_eBSC,2RXS_dBSC,2RXS_RA7deg,2RXS_DE7deg,2RXS_VmagBSC,2RXS_SpTypeBSC,2RXS_RecnoBSC,2RXS_HD,2RXS_mHMXB,2RXS_eHMXB,2RXS_dHMXB,2RXS_RA8deg,2RXS_DE8deg,2RXS_NameHMXB,2RXS_Name2HMXB,2RXS_VmagHMXB,2RXS_mLMXB,2RXS_eLMXB,2RXS_dLMXB,2RXS_RA9deg,2RXS_DE9deg,2RXS_NameLMXB,2RXS_Name2LMXB,2RXS_VmagLMXB,2RXS_mATNF,2RXS_eATNF,2RXS_dATNF,2RXS_RA10deg,2RXS_DE10deg,2RXS_ATNF,2RXS_TypeATNF,2RXS_PerATNF,2RXS_mFUH,2RXS_eFUH,2RXS_dFUH,2RXS_RA11deg,2RXS_DE11deg,2RXS_SeqFUH,2RXS_NameFUH,2RXS_m1SXPS,2RXS_e1SXPS,2RXS_d1SXPS,2RXS_RA12deg,2RXS_DE12deg,2RXS_Exp1SXPS,2RXS_Det1SXPS,2RXS_Det01SXPS,2RXS_Det11SXPS,2RXS_Det21SXPS,2RXS_Det31SXPS,2RXS__1SXPS,2RXS_CR01SXPS,2RXS_e_CR01SXPS,2RXS_m1RXH,2RXS_e1RXH,2RXS_d1RXH,2RXS_RA13deg,2RXS_DE13deg,2RXS__1RXH,2RXS_CR1RXH,2RXS_e_CR1RXH,2RXS_ETim1RXH,2RXS_SNR1RXH,2RXS_mFlem,2RXS_eFlem,2RXS_dFlem,2RXS_RA14deg,2RXS_DE14deg,2RXS_Flem,2RXS_TypeFlem,2RXS_WFCFlem,2RXS_CRFlem,2RXS_e_CRFlem,2RXS_mWD,2RXS_eWD,2RXS_dWD,2RXS_RA15deg,2RXS_DE15deg,2RXS_WD,2RXS_VmagWD,2RXS_VsphotWD,2RXS_mSDSS,2RXS_eSDSS,2RXS_dSDSS,2RXS_RA16deg,2RXS_DE16deg,2RXS_SDSS,2RXS_LambdaS,2RXS_BetaS,2RXS_m2RXS,2RXS_e2RXS,2RXS_d2RXS,2RXS_I2RXS,2RXS_Seq2RXS,2RXS_IndD2RXS,2RXS_ExiML2RXS,2RXS_CR2RXS,2RXS_RA17deg,2RXS_DE17deg,2RXS_USKY2rxs,2RXS_Flag2rxs,2RXS_BkgId,2RXS_Xbkg1,2RXS_Ybkg1,2RXS_Xbkg2,2RXS_Ybkg2,2RXS_BGR1rxs,2RXS_BGR2rxs,2RXS_Lflag,2RXS_CM6,2RXS_CD6,2RXS_ExVAR6,2RXS_e_ExVAR6,2RXS_NbinsA,2RXS_Nbins6,2RXS_Nbins1,2RXS_NbinsN,2RXS_Cmin6,2RXS_Cmax6,2RXS_e_Cmin6,2RXS_e_Cmax6,2RXS_CTSlc6,2RXS_sigex6,2RXS_CM_CD,2RXS_SPX,2RXS_gp,2RXS_gm,2RXS_gb,2RXS_LCX,2RXS_i,2RXS_l,2RXS_b,2RXS_ObsClock1,2RXS_ObsClock2,2RXS_Obs.date1,2RXS_Obs.time1,2RXS_Obs.date2,2RXS_Obs.time2,tempid,EPIC_XMM_STACK_CAT.OBS_ID,EPIC_XMM_STACK_CAT.IAUNAME_4XMMDR9,EPIC_XMM_STACK_CAT.IAUNAME,EPIC_XMM_STACK_CAT.N_OBS,EPIC_XMM_STACK_CAT.N_CONTRIB,EPIC_XMM_STACK_CAT.N_EXP,EPIC_XMM_STACK_CAT.RA_OBJ,EPIC_XMM_STACK_CAT.DEC_OBJ,EPIC_XMM_STACK_CAT.RADEC_ERR,EPIC_XMM_STACK_CAT.EP_DET_ML,EPIC_XMM_STACK_CAT.REVOLUT,EPIC_XMM_STACK_CAT.N_BLEND,EPIC_XMM_STACK_CAT.EP_FLUX,EPIC_XMM_STACK_CAT.EP_FLUX_ERR,EPIC_XMM_STACK_CAT.EP_2_FLUX,EPIC_XMM_STACK_CAT.EP_2_FLUX_ERR,EPIC_XMM_STACK_CAT.EP_3_FLUX,EPIC_XMM_STACK_CAT.EP_3_FLUX_ERR,EPIC_XMM_STACK_CAT.EP_4_FLUX,EPIC_XMM_STACK_CAT.EP_4_FLUX_ERR,EPIC_XMM_STACK_CAT.EP_5_FLUX,EPIC_XMM_STACK_CAT.EP_5_FLUX_ERR,EPIC_XMM_STACK_CAT.EP_RATE,EPIC_XMM_STACK_CAT.EP_RATE_ERR,EPIC_XMM_STACK_CAT.EP_CTS,EPIC_XMM_STACK_CAT.EP_CTS_ERR,EPIC_XMM_STACK_CAT.PN_CTS,EPIC_XMM_STACK_CAT.PN_CTS_ERR,EPIC_XMM_STACK_CAT.EXTENT,EPIC_XMM_STACK_CAT.EXTENT_ERR,EPIC_XMM_STACK_CAT.EXTENT_ML,EPIC_XMM_STACK_CAT.EP_ONTIME,EPIC_XMM_STACK_CAT.PN_ONTIME,EPIC_XMM_STACK_CAT.PN_PILEUP,EPIC_XMM_STACK_CAT.EP_OFFAX,EPIC_XMM_STACK_CAT.STACK_FLAG,EPIC_XMM_STACK_CAT.VAR_CHI2,EPIC_XMM_STACK_CAT.VAR_PROB,EPIC_XMM_STACK_CAT.FLUXVAR,EPIC_XMM_STACK_CAT.MJD_FIRST,EPIC_XMM_STACK_CAT.MJD_LAST,EPIC_XMM_STACK_CAT.CC_POFFSET,EPIC_XMM_STACK_CAT.CC_POFFERR,EPIC_XMM_STACK_CAT.CC_REFCAT,EPIC_XMM_STACK_CAT.CC_NMATCHES,CSC2_sepn,CSC2_name,CSC2_ra,CSC2_dec,CSC2_err_ellipse_r0,CSC2_conf_flag,CSC2_sat_src_flag,CSC2_significance,CSC2_flux_aper_b,CSC2_flux_aper_lolim_b,CSC2_flux_aper_hilim_b,CSC2_flux_aper_w,CSC2_flux_aper_lolim_w,CSC2_flux_aper_hilim_w,CSC2_extent_flag,CSC2_hard_hm,CSC2_hard_hm_lolim,CSC2_hard_hm_hilim,CSC2_hard_ms,CSC2_hard_ms_lolim,CSC2_hard_ms_hilim,CSC2_var_intra_index_b,CSC2_var_inter_index_b,CSC2_var_intra_index_w,CSC2_var_inter_index_w,CSC2_match_type,CSC2_obsid,CSC2_obi,CSC2_region_id,CSC2_instrument,CSC2_theta,CSC2_phi,CSC2_livetime,CSC2_conf_code,CSC2_obi_sat_src_flag,CSC2_flux_significance_b,CSC2_flux_significance_w,CSC2_detector,CSC2_extent_code,CSC2_mjr_axis_raw_b,CSC2_mnr_axis_raw_b,CSC2_pos_angle_raw_b,CSC2_mjr_axis_raw_w,CSC2_mnr_axis_raw_w,CSC2_pos_angle_raw_w,CSC2_cnts_aper_b,CSC2_cnts_aper_w,CSC2_src_rate_aper_b,CSC2_src_rate_aper_w,CSC2_obi_flux_aper_b,CSC2_obi_flux_aper_lolim_b,CSC2_obi_flux_aper_hilim_b,CSC2_obi_flux_aper_w,CSC2_obi_flux_aper_lolim_w,CSC2_obi_flux_aper_hilim_w,CSC2_obi_hard_hm,CSC2_obi_hard_hm_lolim,CSC2_obi_hard_hm_hilim,CSC2_obi_hard_ms,CSC2_obi_hard_ms_hilim,CSC2_obi_hard_ms_lolim,CSC2_var_index_b,CSC2_var_index_w,CSC2_detect_stack_id
2MASSJ11183572-7935548,J11183572-7935548,eps Cha 13,11h18m36.72s,-79d35m55.8s,Cha I,160,M5,0.19,-8.95,0.0,nan,nan,1,1,,cha-1,,,False,5,5,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.,0.,0.,0,0,0,0,,,0.0,0.0,0.0,0.0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2MASSJ11432669-7804454,J11432669-7804454,eps Cha 17,11h43m26.69s,-78d04m45.4s,Cha I,160,M5.5,0.14,-8.71,0.4,nan,nan,2,1,,cha-1,,,False,2,2,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.,0.,0.,0,0,0,0,,,0.0,0.0,0.0,0.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BP Tau,,,04h19m15.86s,+29d06m27.2s,,,,0.7,-7.5376020021010435,0.51,,,,,,monitor,2.0,8.19,True,76,76,14.49,Ximg,2RXS J041915.5+290641,931211,051,21.98,24.45,6.063711,0.0385,0.0096,634.85,64.81495,29.11145,04H19M15.58S,+29D06M41.2S,168.33321,-14.91287,67.97186,7.57783,0.672,0.517,1.37,0.750,0.389,0.028,0.330,9,1,0,0,2,0.0272,0.03247,0.04756,24.10,-0.10998,0.09992,0.10998,0.07277,0.124,-1.8703,1.9936,-0.938141,1.3300,7.1410,49.42,0.001095,0.005722,-8.0000,96.97,0.035450,3.316e-07,0.8434,1.6870,5,2,0.083960,887.8,0.0002867,13.35,0.034570,481.4,0.009129,0.000000,6.159,12.32,5,2,17.16000,133.9,3590,4.213e+05,0.047990,2.391,0.031180,5.976e-07,0.4057,0.8114,5,2,281.4850,177.5573,0.287581,0.265759,2248.15,-7105.34,600,1.0,66,0.2765,1.4907,,40.15,22.47,24.76,47.23,113.67,44.82,50.37,95.19,235.243,2.20,7.51,7.95,15.45,0,0,,0.00000,0.00000,,,,,,32,75124,14.8,64.81603,29.10743,J041915.8+290626,0.24371,0.001719,4.4434e-13,2.2876e-15,15,17260,14.5,64.81750,29.10810,J041916.2+290629,0.051060,0.002990,5646,WG201601P.N1,1,40685,9.5,64.81375,29.10903,J041915.3+290632,0.026970,0.007872,17.584,5.132544,28,652,1.000000,0.180000,0.160000,0.270000,0,0,,,,,,,0.00000,0.00000,0,0,,0.00000,0.00000,,,,,,,0,0,,0.00000,0.00000,,,,,0,0,,0.00000,0.00000,,,,0,0,,0.00000,0.00000,,,,0,0,,0.00000,0.00000,,,,0,0,,0.00000,0.00000,,,0,0,,0.00000,0.00000,,,,,,,,,,0,0,,0.00000,0.00000,,,,,,0,0,,0.00000,0.00000,,,,,,0,0,,0.00000,0.00000,,,,0,0,,0.00000,0.00000,,,,1,76139,222.2,76139,931211,54,5.68,0.0194,64.87529,29.07937,9,0,1,2681.91,-10845.69,1472.65,-3747.93,0.00082,0.00077415,0,0.03247,0.04756,-1.8703,1.9936,18,18,0,0,-0.109975,0.099922,0.109975,0.072769,,-0.938141,0.080030,0,gp,gm,gb,1,i,l,b,6742075.0,22569531.0,1990-08-18,21:54:44.7,1991-02-18,05:18:51.0,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHX18N,J11114632-7620092,...,11h11m46.32s,-76d20m09.2s,Cha I,160,K2,1.25,-8.09,0.8,12.0,11.96,3,1,,cha-1,,,False,15,15,27.09,Ximg,2RXS J111138.7-762005,933108,007,62.69,36.77,6.598090,0.1272,0.0228,289.06,167.91147,-76.33486,11H11M38.75S,-76D20M05.4S,297.02188,-14.62167,235.89429,-65.67049,0.487,0.382,4.07,1.000,0.072,0.182,0.128,8,1,0,0,7,0.1563,0.15491,0.11063,71.62,-0.02088,0.32920,0.07467,0.11906,0.062,-0.021891,0.27777,-0.078811,0.8650,1.1110,0.6815,0.0008323,0.003329,-2.1280,3.895,0.126100,4.73e-12,1.5780,4.7340,6,3,2.939000,60.99,0.0009047,0.003389,0.507500,7.558,0.105400,0.000000,2.384,7.152,6,3,0.27890,1.48,0.001242,0.001537,0.305000,0.1908,0.120100,1.58e-12,1.877,5.632,6,3,272.3535,63.4647,0.188981,0.181678,1426.31,-17373.68,600,1.0,55,0.0932,1.6646,,10.09,30.96,47.65,78.61,19.68,8.63,18.00,26.63,150.391,0.00,26.45,38.25,64.71,0,0,,0.00000,0.00000,,,,,,32,178276,10.3,167.91501,-76.33759,J111139.6-762015,0.037355,0.001210,5.8323e-14,1.3055e-15,2,45413,25.6,167.94080,-76.33640,J111145.8-762011,0.033030,0.004780,1550,US200047P-1.N1,1,123739,11.0,167.91167,-76.33180,J111138.8-761954,0.125500,0.022930,35.14,6.420400,63,280,1.000000,0.070000,0.190000,0.180000,0,0,,,,,,,0.00000,0.00000,0,0,,0.00000,0.00000,,,,,,,0,0,,0.00000,0.00000,,,,,0,0,,0.00000,0.00000,,,,0,0,,0.00000,0.00000,,,,0,0,,0.00000,0.00000,,,,0,0,,0.00000,0.00000,,,0,0,,0.00000,0.00000,,,,,,,,,,0,0,,0.00000,0.00000,,,,,,0,0,,0.00000,0.00000,,,,,,0,0,,0.00000,0.00000,,,,0,0,,0.00000,0.00000,,,,0,0,,,,,,,0.00000,0.00000,,,1,-1763.39,-18524.52,5005.55,-16054.17,0.00062,0.00057325,0,0.15491,0.11063,-0.021891,0.27777,10,10,0,0,-0.020881,0.329197,0.074668,0.119062,,-0.078811,0.265544,0,gp,gm,gb,1,i,l,b,5443697.0,5870524.0,1990-08-03,21:15:06.9,1990-08-08,19:48:53.8,14,,4XMM J111146.1-762009,4XMMs J111146.1-762009,2,2,6,11 11 46.19,-76 20 09.7,0.1003822,10341.31,,1,3.70571e-13,6.358014e-15,8.693595e-14,1.747924e-15,1.205474e-13,2.141241e-15,9.62421e-14,2.789929e-15,5.558355e-14,4.825614e-15,0.266362,0.003241125,18106.48,222.4327,9053.527,143.4615,0.0,0.0,-3.235352,95021.77,72401.05,0.1030355,,0,22.2812,2.355005953474e-06,4.611116,53276.7831713,53616.60659722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS Cha,J11022491-7733357,Sz 9,11h02m24.91s,-77d33m35.7s,Cha I,160,K2,1.4,-8.29,0.8,11.86,11.69,0,0,"COS/G130M/G160M, STIS/E230M/G140L/G230L/G430L/G750L",cha-1,,,False,17,17,3.98,Ximg,2RXS J110224.5-773331,933108,052,40.22,26.64,5.859008,0.0593,0.0131,448.96,165.60236,-77.55886,11H02M24.56S,-77D33M31.9S,297.04291,-15.95176,238.40752,-66.52672,0.000,0.000,0.00,0.874,0.113,0.080,0.154,8,1,0,0,35,0.1556,0.05159,0.08920,31.00,-0.18395,0.24317,0.18395,0.08759,0.187,0.55572,1.3328,0.416942,0.8810,8.4770,32.6,0.003423,0.01148,-8.0000,66.16,0.068160,1.037e-06,1.6770,3.3540,5,2,2.027000,123,0.0004061,0.005125,0.463900,15.02,0.067300,0.000000,0.7058,1.412,5,2,22.04000,97.36,1e+05,8.007e+06,0.045350,1.68,0.065580,1.525e-05,0.5324,1.065,5,2,310.7281,162.6820,0.151841,0.159498,4880.03,-8444.12,600,1.0,48,0.1617,1.5791,,17.83,24.27,27.69,51.96,44.46,11.49,11.05,22.54,235.243,2.99,20.44,24.00,44.44,0,0,,0.00000,0.00000,,,,,,6,174984,3.6,165.60339,-77.55984,J110224.8-773335,0.35368,0.005606,7.9025e-13,7.5091e-15,2,44780,3.3,165.60420,-77.55970,J110225.0-773335,0.070820,0.001520,31353,WG200207P.N1,1,123768,1.5,165.60416,-77.55875,J110225.0-773331,0.058720,0.012700,26.835,5.803900,50,457,1.000000,0.140000,0.070000,0.210000,0,0,,,,,,,0.00000,0.00000,0,0,,0.00000,0.00000,,,,,,,0,0,,0.00000,0.00000,,,,,0,0,,0.00000,0.00000,,,,0,0,,0.00000,0.00000,,,,0,0,,0.00000,0.00000,,,,0,0,,0.00000,0.00000,,,1,65995,6.4,165.60510,-77.56054,7700,0,0,0,0,0,65995,0.041600,0.003420,0,0,,0.00000,0.00000,,,,,,0,0,,0.00000,0.00000,,,,,,0,0,,0.00000,0.00000,,,,0,0,,0.00000,0.00000,,,,0,0,,,,,,,0.00000,0.00000,,,2,1275.87,-9623.77,8132.91,-7423.55,0.00066,0.00064037,0,0.05159,0.08920,0.55572,1.3328,14,14,0,0,-0.183952,0.243175,0.183952,0.087586,,0.416942,0.140793,0,gp,gm,gb,1,i,l,b,5691704.0,6089720.0,1990-08-06,18:08:33.8,1990-08-11,08:42:09.8,16,,4XMM J110224.7-773335,4XMMs J110224.8-773335,6,1,3,11 02 24.86,-77 33 35.4,0.08433661,49721.16,,1,9.727989e-13,1.653124e-14,4.352311e-13,6.293925e-15,2.461327e-13,4.485828e-15,1.082472e-13,5.315676e-15,5.731058e-14,1.31706e-14,0.9157737,0.009361638,12732.03,128.7273,7687.255,104.6012,0.0,0.0,-4.351562,30279.92,28439.26,0.2650699,,1,,,,52869.24517361,52869.60024306,,,,,0.3471519,2CXO J110224.8-773335,165.6034,-77.55986,0.72,FALSE,FALSE,54.94,7.845e-13,7.702e-13,7.988e-13,nan,nan,nan,FALSE,-0.3323,-0.3616,-0.3004,-0.6596,-0.6702,-0.6477,0.0,nan,nan,nan,u,6396,0,5,ACIS,3.699,122.63,39305.7,0,FALSE,54.94,nan,ACIS-6,0,1.199,0.65,166.1,nan,nan,nan,3981.0,nan,0.10923,nan,7.845e-13,7.702e-13,7.988e-13,nan,nan,nan,-0.3323,-0.3616,-0.3004,-0.6596,-0.6477,-0.6702,0.0,nan,acisfJ1101180m773244_001
CVSO-104,J05320638-0111000,...,5h32m06.49s,-1d11m00.8s,Ori OB1b,440,K7,0.77,-8.12,0.0,14.14,14.22,3,1,,orion-ob1,,,False,64,64,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.,0.,0.,0,0,0,0,,,0.0,0.0,0.0,0.0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVSO-107,J05322578-0036533,...,5h32m25.79s,-0d36m53.4s,Ori OB1b,440,K7,0.77,-7.96,0.32,14.4,14.78,4,1,,orion-ob1,,,False,65,65,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.,0.,0.,0,0,0,0,,,0.0,0.0,0.0,0.0,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CVSO-109,J05323265-0113461,V462 Ori,5h32m32.66s,-1d13m46.1s,Ori OB1b,440,M0,0.56,-7.6,0.0,13.62,13.97,1,1,COS/G160M,orion-ob1,,,False,63,63,,0.0,0.0,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,0.0,0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.,0.,0.,0,0,0,0,,,0.0,0.0,0.0,0.0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
